class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized,n_stable_multi_states
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,0,0.03162277660168379,0.770542846814633,0.770542846814633,0.770542846814633,0.770542846814633,0.639344262295082,0.770542846814633,0.639344262295082,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,1,0.03162277660168379,0.6327180318978164,0.6316238623791263,0.6316238623791263,0.6327180318978164,0.5901639344262295,0.6316238623791263,0.5901639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,2,0.03162277660168379,0.6686339490693416,0.6686339490693416,0.6686339490693416,0.6686339490693416,0.6229508196721312,0.6686339490693416,0.6229508196721312,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,3,0.03162277660168379,0.5778223530219673,0.5778223530219673,0.5778223530219673,0.5778223530219673,0.5245901639344263,0.5778223530219673,0.5245901639344263,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,4,0.03162277660168379,0.5674392332357253,0.5674392332357253,0.5674392332357253,0.5674392332357253,0.5245901639344263,0.5674392332357253,0.5245901639344263,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,5,0.03162277660168379,0.7609807626343944,0.7609807626343944,0.7609807626343944,0.7609807626343944,0.6065573770491803,0.7609807626343944,0.6065573770491803,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,0,0.03162277660168379,0.6705796012539085,0.6705796012539085,0.6705796012539085,0.6705796012539085,0.5573770491803278,0.6705796012539085,0.5573770491803278,1.3473284111200785,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,1,0.03162277660168379,0.775912739152514,0.775912739152514,0.775912739152514,0.775912739152514,0.6065573770491803,0.775912739152514,0.6065573770491803,1.6697580826087508,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,2,0.03162277660168379,0.7963184628533991,0.7902744125657493,0.7902744125657493,0.7963184628533991,0.639344262295082,0.7902744125657493,0.639344262295082,1.5926369257067983,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,3,0.03162277660168379,0.7040351983567837,0.7040351983567837,0.7040351983567837,0.7040351983567837,0.6065573770491803,0.7040351983567837,0.6065573770491803,1.4292344604120217,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,4,0.03162277660168379,0.6560858622825136,0.6560858622825136,0.6560858622825136,0.6560858622825136,0.569672131147541,0.6560858622825136,0.569672131147541,1.3121717245650273,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,5,0.03162277660168379,0.7659366589125296,0.7659366589125296,0.7659366589125296,0.7659366589125296,0.5942622950819672,0.7659366589125296,0.5942622950819672,1.5318733178250592,244
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,0,0.03162277660168379,0.700879593402224,0.6933401419909627,0.6993599823426567,0.40616274756441806,0.12704918032786885,0.40616274756441806,0.09836065573770492,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,1,0.03162277660168379,0.8782081812407195,0.8608395429180425,0.8608395429180425,0.8310276376200136,0.5163934426229508,0.8310276376200136,0.5040983606557377,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,2,0.03162277660168379,0.6933390976079836,0.6728343649830689,0.6728343649830689,0.8409000031890352,0.5901639344262295,0.8396238903077762,0.5901639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,3,0.03162277660168379,0.6931441282396541,0.6927609997117564,0.6927609997117564,0.41764901881468885,0.3524590163934426,0.41764901881468885,0.3401639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,4,0.03162277660168379,0.7329180991121031,0.7293599274119003,0.7293599274119003,0.5450678344670572,0.19262295081967215,0.5450678344670572,0.1721311475409836,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,5,0.03162277660168379,0.6871321760311375,0.646258788867878,0.646258788867878,0.560809736793221,0.45491803278688525,0.560809736793221,0.45491803278688525,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,0,0.03162277660168379,0.7814400674970163,0.7809990996537269,0.7809990996537269,0.7814400674970163,0.7377049180327869,0.7809990996537269,0.7377049180327869,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,1,0.03162277660168379,0.8621754234527548,0.8663887181753014,0.8663887181753014,0.8621754234527548,0.75,0.8663887181753014,0.75,,0
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,2,0.03162277660168379,0.8112516470825512,0.8088077079004421,0.8088077079004421,0.8112516470825512,0.7786885245901639,0.8088077079004421,0.7786885245901639,,0
