class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,9,0.03162277660168379,0.6904257175950108,0.6752585672282571,0.6752585672282571,0.6030120644156489,0.22950819672131148,0.615787533650177,0.22950819672131148,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,0,0.03162277660168379,0.5902660214981186,0.5902660214981186,0.5902660214981186,0.5902660214981186,0.5573770491803278,0.5902660214981186,0.5573770491803278,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,1,0.03162277660168379,0.6759706178308035,0.6759706178308035,0.6759706178308035,0.6759706178308035,0.639344262295082,0.6759706178308035,0.639344262295082,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,2,0.03162277660168379,0.6364564427926265,0.6372039194362127,0.6372039194362127,0.6364564427926265,0.6065573770491803,0.6372039194362127,0.6065573770491803,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,3,0.03162277660168379,0.660839984125811,0.660839984125811,0.660839984125811,0.660839984125811,0.5409836065573771,0.660839984125811,0.5409836065573771,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,4,0.03162277660168379,0.7529079355070286,0.7468962091634312,0.7468962091634312,0.7529079355070286,0.6967213114754098,0.7468962091634312,0.6967213114754098,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,5,0.03162277660168379,0.5814886320347395,0.5814886320347395,0.5814886320347395,0.5814886320347395,0.45901639344262296,0.5814886320347395,0.45901639344262296,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,6,0.03162277660168379,0.7176549588496706,0.7176549588496706,0.7176549588496706,0.7176549588496706,0.6721311475409836,0.7176549588496706,0.6721311475409836,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,7,0.03162277660168379,0.6968875428267127,0.6968875428267127,0.6968875428267127,0.6968875428267127,0.5901639344262295,0.6968875428267127,0.5901639344262295,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,8,0.03162277660168379,0.7812580481702164,0.7812580481702164,0.7812580481702164,0.7812580481702164,0.6680327868852459,0.7812580481702164,0.6680327868852459,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,9,0.03162277660168379,0.8130103685555625,0.8130103685555625,0.8130103685555625,0.8130103685555625,0.75,0.8130103685555625,0.75,
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,0,0.03162277660168379,0.8143715012254862,0.8142780666450378,0.8142780666450378,0.8143715012254862,0.7704918032786885,0.8142780666450378,0.7704918032786885,1.639192261923269
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,1,0.03162277660168379,0.7633171415829958,0.7678584177547558,0.7678584177547558,0.7633171415829958,0.6065573770491803,0.7678584177547558,0.6065573770491803,1.5266342831659918
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,2,0.03162277660168379,0.7605397236144911,0.7605397236144911,0.7605397236144911,0.7605397236144911,0.6270491803278688,0.7605397236144911,0.6270491803278688,1.6538225138720184
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,3,0.03162277660168379,0.6575149701997427,0.6575149701997427,0.6575149701997427,0.6575149701997427,0.5245901639344263,0.6575149701997427,0.5245901639344263,1.423504168429762
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,4,0.03162277660168379,0.6539326474291048,0.6513001506342024,0.6513001506342024,0.6539326474291048,0.47540983606557374,0.6513001506342024,0.47540983606557374,1.400464666433861
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,5,0.03162277660168379,0.655375387661131,0.655375387661131,0.655375387661131,0.655375387661131,0.47540983606557374,0.655375387661131,0.47540983606557374,1.445835329568682
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,6,0.03162277660168379,0.6843532131019274,0.6843532131019274,0.6843532131019274,0.6843532131019274,0.6065573770491803,0.6843532131019274,0.6065573770491803,1.38703085015607
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,7,0.03162277660168379,0.6865894578026017,0.6865894578026017,0.6865894578026017,0.6865894578026017,0.5081967213114754,0.6865894578026017,0.5081967213114754,1.5899261067645443
