source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.721133338228192,2.0878008096872094,0.23038228151162743,-0.07339563714064307,0.36122277542169245,-0.02126682525645872,-0.24698008894825335,0.16893627340921993,3,True,32,4,False,True,True,True,False,,True,
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.721133338228192,2.8695916853362977,-0.02601050871623297,-0.09441598503661132,0.0009831353244308498,-0.02014571210946473,-0.06253384681463116,0.027384793958606372,1,False,32,4,False,False,False,False,True,,False,
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.721133338228192,2.5695709629907926,0.02909288665657416,-0.12365554873173001,0.15375542254502045,-0.09352123989906337,-0.2265402852692308,0.024480083459705856,3,True,32,4,False,True,True,True,False,,True,
L224,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_050,1,2.758901478035539,2.409256053157924,0.17117573070087055,-0.20243434643718095,0.30372446721890206,-0.27696834720095953,-0.6417282772757542,0.017541657680554778,2,True,32,4,False,False,True,True,False,,True,
L224,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_050,1,2.758901478035539,2.8813968063600695,-0.006692315829709545,-0.07304577282077475,0.01084008387478328,-0.026433808687943452,-0.057326152008648074,0.005256265326888345,1,False,32,4,False,False,False,False,True,,False,
L224,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_050,1,2.758901478035539,2.597438974950787,0.015287309853844787,-0.10492065402253355,0.12676815172041245,-0.046055080425779674,-0.1460950220553372,0.0404591599547378,3,True,32,4,False,True,True,True,False,,True,
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.879200648953434,2.237187301005317,0.2701761162884062,0.01620247485575786,0.3092357651057155,0.030916300061374455,-0.1525281692406714,0.18309607484684143,3,True,32,4,False,True,True,True,False,,True,
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.879200648953434,2.8919547096449754,0.005155608107348821,-0.012226790520718197,0.013551350791891998,0.013100572389557016,-0.004144524763090618,0.033817860726805614,2,False,32,4,False,True,False,False,True,,False,
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_050,1,2.879200648953434,2.811403518698893,0.024161879655734218,-0.1286818679796529,0.11706595240175202,-0.13992956657888958,-0.30422559935917354,-0.004541845276115052,2,True,32,4,False,False,True,True,False,,True,
L448,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_050,1,2.882102479499613,2.726707907476566,0.10512419048853976,-0.287420922843356,0.21334913645332,-0.3269130393368296,-0.6952656066398115,-0.03522886402837132,2,True,32,4,False,False,True,True,False,,True,
L448,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_050,1,2.882102479499613,2.892581841784601,0.004742752439716686,-0.009284801808102114,0.013047563021393021,0.0026104640910585937,-0.0061948856106388015,0.01189096595411601,1,False,32,4,False,False,False,False,True,,False,
L448,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_050,1,2.882102479499613,3.2068180796832655,-0.06888707630131723,-0.3463806987706741,0.01718365296798393,-0.4312419090765405,-0.754979345280145,-0.17731569428975277,1,False,32,4,False,False,False,True,False,,False,
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,3.061738350760962,2.270752604094549,0.19554540155630928,0.09570682316435282,0.3272815058125837,0.12908235897742665,-0.028115972282848564,0.2518296941242101,3,True,32,4,False,True,True,True,False,,,True
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,3.061738350760962,3.091840345870507,-0.006240086925144591,-0.011176475196855495,-0.00036751152491830706,-0.002240116680894782,-0.010447987343638889,0.007495970042330148,1,False,32,4,False,False,False,False,True,,,False
