family,split,regime,generative_radial_cells,generative_azimuthal_cells,generative_ages_scored,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale
plunging_feature,pilot,estimated_from_data,0.02911602747894049,0.04551114158191183,61,1,2563484481559061232,0.15074287940533873,0.7463639140195695,0.3093901973626302,0.3093901973626302,1.0814916670542907e-17,1.0234868508263162e-16,1.0
plunging_feature,pilot,estimated_from_data,0.04466059857952845,0.1384361893548164,61,2,4428294551036379021,0.05583101188064389,0.3666700900582848,0.24952121378649839,0.24952121378649839,3.901433755053307e-18,6.288372600415926e-17,1.0
plunging_feature,pilot,estimated_from_data,0.02502158802399378,0.04354278405022789,61,3,3141207067828151005,0.07736751495946874,0.5415936760362887,0.241273789928664,0.241273789928664,4.336808689942018e-18,7.45931094670027e-17,1.0
plunging_feature,pilot,estimated_from_data,0.11818336539628901,0.039791390887274826,61,4,2026743939279519304,0.05246094342376462,0.4252600146536876,0.35594014952921404,0.35594014952921404,2.927345865710862e-18,3.165870343657673e-17,1.0
plunging_feature,pilot,estimated_from_data,0.10055028825958347,0.3863035416054891,61,5,3327679721016786812,0.06698460757095753,0.30667914189303824,0.18881769120658448,0.18881769120658448,3.903127820947816e-18,3.5561831257524545e-17,1.0
plunging_feature,pilot,estimated_from_data,0.01768186709189961,0.07672437345865583,61,6,2487978036933142332,0.1361458975371962,0.660271888496088,0.31246415797188076,0.31246415797188076,1.3440718807031238e-17,1.5612511283791264e-16,1.0
plunging_feature,pilot,estimated_from_data,0.05290926401881392,0.05558141707425318,61,7,6245855614616738898,0.10539693362310544,0.5584469328987567,0.27255482213919485,0.27255482213919485,1.1275601677814515e-17,1.196959198423997e-16,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.1298511964494879,0.00559662926075556,61,0,1147244449153343397,0.04148432146078033,0.38000570833016184,0.258245038680285,0.258245038680285,4.230506051830429e-18,4.7704895589362195e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.04588975936936751,0.006606458965788532,61,1,5816944143116133717,0.09028369857545497,0.7161805657307863,0.38565681196829515,0.38565681196829515,5.238157624939e-18,6.505213034913027e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.23941092294455416,0.0031350561815665194,61,2,8706504264666855097,0.026770328199323776,0.37250214705274876,0.3080585201805135,0.3080585201805135,1.8071447929670498e-18,3.0791341698588326e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.3824533201286263,0.008268549061859243,61,3,5206916904693848546,0.030279298895839125,0.7961718945323784,0.2642907130998557,0.3245365531180372,4.119968255419673e-18,7.22078646875346e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.24317027738314806,0.002499032452177178,61,4,8521819261114815901,0.021540650674433295,0.4250799740636153,0.2675234364889667,0.2675234364889667,1.3467823861488329e-18,2.168404344971009e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.03986018163645913,0.003832107271498304,61,5,7975368311482307966,0.10627042194815842,0.3811374788494506,0.3495539540886814,0.3495539540886814,1.3877787701185706e-17,7.39425881635114e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.054163141613001745,0.0034996009357617743,61,6,574839800380888433,0.08248741044021428,0.5402794183577537,0.21642907843593862,0.21642907843593862,6.3967928176645856e-18,5.984795992119984e-17,1.0
circular_hotspot_trajectory,selection,joint_inversion,0.07902973850530404,0.006927489741701712,61,7,242270034809075720,0.07525565949817267,0.7969803163177713,0.19834893158874978,0.19834893158874978,4.967107081817624e-18,6.158268339717665e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.22980139710989958,0.003279300361061817,61,0,2347216061200556420,0.030179728143464937,0.5779014655740399,0.20887881134011854,0.2299610314763478,1.3891340335996045e-18,2.667137344314341e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.33369157642989034,0.004788949988435701,61,1,6653676528787461662,0.02445960831392444,0.5622780247023704,0.2247531456168027,0.24860218216496413,1.0706496453294356e-18,1.6479873021779667e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.10268420098453776,0.004758398939843925,61,2,3581425467186865732,0.10124260832444601,0.39469737494474,0.2106995850820494,0.2106995850820494,5.790317227430459e-18,6.722053469410127e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.3244138643270334,0.006339540039557849,61,3,8745584423966257309,0.010052765915476432,0.370289002161019,0.1651128608771386,0.18403303035086752,3.1170812458958252e-19,6.5052130349130266e-18,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.005873276008346657,0.0032776252461494573,61,4,1483723851557543550,0.045703883442817214,0.461137663536651,0.22209223425707125,0.22209223425707125,2.800860851064766e-18,4.4777549723651333e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.13701513946750077,0.013969699104251805,61,5,7802593046536154652,0.009296098440568565,0.5003274256784427,0.1732903473160697,0.1893971698998336,2.981555974335137e-19,6.5052130349130266e-18,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.12007312194207828,0.0028448342371288587,61,6,8830232401313321564,0.0938195424671898,0.5939982206786131,0.32891768161117774,0.32891768161117774,6.278845922527061e-18,7.806255641895632e-17,1.0
circular_hotspot_trajectory,pilot,joint_inversion,0.07405445897663569,0.003753392242988507,61,7,3567626982421379479,0.040694469934651784,0.6099454455086326,0.21739379620061244,0.21739379620061244,4.055129224916156e-18,4.163336342344337e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.30363660562150957,0.006462516948984811,61,0,3771463535611600472,0.031373303624257484,0.6340778324685892,0.23584345848726299,0.23820643046259032,3.876022766635678e-18,5.2909066017292616e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.2860739145086058,0.012580066756577144,61,1,3412002169120716347,0.02707488795451663,0.5477258323329178,0.19081654754059135,0.23679044857229642,1.897367036739446e-18,4.5102810375396984e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.2819046469887119,0.169166641801236,61,2,25076511652957641,0.03215724909320416,0.6627570926655821,0.35318931373386736,0.3865827654935958,3.0357661346582007e-18,5.941427905220564e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.05435722066419864,0.011621545207840152,61,3,6862429247931339829,0.040340476780295315,0.6302897684928177,0.3369984632170873,0.3369984833968088,2.1684072401007862e-18,3.0791341698588326e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.1458814128403066,0.005070264050316838,61,4,6938197618547226837,0.04708369574815669,0.542875225278312,0.35297879161535056,0.35980877724663973,2.5715934754301278e-18,4.9873299934333204e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.047835854750210356,0.008630423755966881,61,5,2548536556242076683,0.03048711844333663,0.4967193579125593,0.2468348532146094,0.27705522040429176,3.523655406216664e-18,3.8163916471489756e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.09228556661435967,0.0029546699135836406,61,6,1401889075491258535,0.1165113657895771,0.7994303133949926,0.20529202825699994,0.2324864540765565,9.268234508856554e-18,9.974659986866641e-17,1.0
two_hotspot_trajectories,selection,joint_inversion,0.2024362471177641,0.007749335930501478,61,7,2878150581532265481,0.014202242769040816,0.34298203330958793,0.261862977941771,0.2618631152026911,1.2739317624061798e-18,1.2034644114589099e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.1494893020193472,0.0035809084645344784,61,0,6040790484873237186,0.042055401930998916,0.7870355094450537,0.2160727174538642,0.29237137956237047,4.282598581338105e-18,5.377642775528102e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.036603643252176785,0.00582463286702982,61,1,8747232831505555981,0.027027907546770015,0.38770527175440544,0.23967265260622905,0.23967265260622905,1.3010672156058388e-18,2.8189256484623115e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.05364468132718479,0.03545849590791751,61,2,2302021597063594944,0.017858072593180195,0.5581718323723908,0.18756253158480893,0.20362581561100532,1.2197274440461925e-18,2.3852447794681098e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.11618120328971318,0.0030327209000585694,61,3,7393485904332582367,0.021057652968000416,0.443797764985513,0.16740906645489445,0.1783115819548325,1.8932278249542183e-18,2.6020852139652106e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.058657349945929346,0.0034975676980572774,61,4,287681189021757789,0.02895224717496306,0.4773132734799647,0.19595381692041075,0.21569870011687886,2.391998718863128e-18,4.0223900599212215e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.1398215337966808,0.005481566453164932,61,5,7463041733996682999,0.019194196847847823,0.5884898109000454,0.16461163969523074,0.23054091992753029,2.4868887331386258e-18,4.0549161250957866e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.22051971405631063,0.008820126719177469,61,6,8856609413880766892,0.028446662298488717,0.6224062662336334,0.2525714928279453,0.2887799067696277,1.6805134449007143e-18,2.7755575615628914e-17,1.0
two_hotspot_trajectories,pilot,joint_inversion,0.1467650634601371,0.016622203480209985,61,7,6183898009985042179,0.01711591533309073,0.58885406456837,0.16532198585885335,0.18694119081297877,9.215718563062016e-19,1.0950441942103595e-17,1.0
