geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,UNRESOLVED_IMAGE,118.0,2.5751049736158814e-10,0.0,False,3.1241620910463042e-06
a050_i050,L224,localized,UNRESOLVED_IMAGE,120.0,1.9678370081525438e-10,0.0,False,2.0206767835469454e-06
a050_i050,L224,localized,TOTAL_FLUX,0.0,0.02653315404356387,0.0,True,10.637940514732431
a050_i050,L224,localized,TOTAL_FLUX,2.0,0.027828812242416467,0.0,True,11.417137602379501
a050_i050,L224,localized,TOTAL_FLUX,4.0,0.028493698196829093,0.0,True,12.088817803015138
a050_i050,L224,localized,TOTAL_FLUX,6.0,0.028734236445505216,0.0,True,12.769315145356826
a050_i050,L224,localized,TOTAL_FLUX,8.0,0.029042035012218376,0.0,True,13.53133755361117
a050_i050,L224,localized,TOTAL_FLUX,10.0,0.029741346970131956,0.0,True,14.310540395619643
a050_i050,L224,localized,TOTAL_FLUX,12.0,0.030942713594153914,0.0,True,15.17279281535416
a050_i050,L224,localized,TOTAL_FLUX,14.0,0.03289189961857626,0.0,True,16.174977585594608
a050_i050,L224,localized,TOTAL_FLUX,16.0,0.035983984936228154,0.0,True,17.206413562194413
a050_i050,L224,localized,TOTAL_FLUX,18.0,0.04002544939419416,0.0,True,18.084783835907203
a050_i050,L224,localized,TOTAL_FLUX,20.0,0.04415025478396643,0.0,True,18.711120201653863
a050_i050,L224,localized,TOTAL_FLUX,22.0,0.04770249736527368,0.0,True,19.131303238313137
a050_i050,L224,localized,TOTAL_FLUX,24.0,0.050554519002830686,0.0,True,19.34608775751339
a050_i050,L224,localized,TOTAL_FLUX,26.0,0.052852610062974786,0.0,True,19.32467162547669
a050_i050,L224,localized,TOTAL_FLUX,28.0,0.05472057521977342,0.0,True,19.059598583571116
a050_i050,L224,localized,TOTAL_FLUX,30.0,0.05614549078905375,0.0,True,18.59443886903681
a050_i050,L224,localized,TOTAL_FLUX,32.0,0.0569258769079988,0.0,True,17.890345815872312
a050_i050,L224,localized,TOTAL_FLUX,34.0,0.056661886050063726,0.0,True,16.85896133406905
a050_i050,L224,localized,TOTAL_FLUX,36.0,0.054863249104761536,0.0,True,15.567443863407291
a050_i050,L224,localized,TOTAL_FLUX,38.0,0.05123797571102318,0.0,True,14.050526310452218
a050_i050,L224,localized,TOTAL_FLUX,40.0,0.04594105093151388,0.0,True,12.471505599084363
a050_i050,L224,localized,TOTAL_FLUX,42.0,0.03960752345383342,0.0,True,11.003668512576436
a050_i050,L224,localized,TOTAL_FLUX,44.0,0.033098514169466735,0.0,True,9.627311993776175
a050_i050,L224,localized,TOTAL_FLUX,46.0,0.02695114190714021,0.0,True,8.412787342907665
a050_i050,L224,localized,TOTAL_FLUX,48.0,0.02126468974444574,0.0,True,7.353540281775722
a050_i050,L224,localized,TOTAL_FLUX,50.0,0.015995713829193098,0.0,True,6.331298197157364
a050_i050,L224,localized,TOTAL_FLUX,52.0,0.011111423300699513,0.0,True,5.316432212355125
a050_i050,L224,localized,TOTAL_FLUX,54.0,0.006726354308532076,0.0,True,4.401267610614255
a050_i050,L224,localized,TOTAL_FLUX,56.0,0.0032385142129219497,0.0,True,3.5461004055604204
