source_class,bank,family,index,retarded_age,oracle_floor_absolute,oracle_floor_normalized,truth_structure_norm,reachable_at_epsilon,in_old_band
L224,constant_flux_structural,circular_single_hotspot,0,32.0,5.717804727384998,0.36095715961042857,15.840674094277759,False,False
L224,constant_flux_structural,circular_single_hotspot,0,34.0,5.645191312147742,0.3592482708487038,15.713899746298836,False,False
L224,constant_flux_structural,circular_single_hotspot,0,36.0,5.678881625591779,0.358492130347567,15.841021726435006,False,False
L224,constant_flux_structural,circular_single_hotspot,0,38.0,5.646402684022423,0.3593620107772234,15.712297111791138,False,False
L224,constant_flux_structural,circular_single_hotspot,0,40.0,5.714551450981524,0.36065138515499784,15.845083884886705,False,False
L224,constant_flux_structural,circular_single_hotspot,0,42.0,5.689069890443091,0.3620139973813106,15.71505502990475,False,False
L224,constant_flux_structural,circular_single_hotspot,0,44.0,5.753561241539066,0.36293749365941225,15.852760715150366,False,False
L224,constant_flux_structural,circular_single_hotspot,0,46.0,5.704778137306331,0.3628679841572757,15.721359795781108,False,False
L224,constant_flux_structural,circular_single_hotspot,0,48.0,5.745075563403037,0.36223195738395153,15.860211796038428,False,False
L224,constant_flux_structural,circular_single_hotspot,0,50.0,5.672574966404183,0.360860352794124,15.719584937723733,False,False
L224,constant_flux_structural,circular_single_hotspot,0,52.0,5.698357189305222,0.35944001383649377,15.853430252474217,False,False
L224,constant_flux_structural,circular_single_hotspot,0,54.0,5.631571494728113,0.3584372524909029,15.711457041901753,False,False
L224,constant_flux_structural,circular_single_hotspot,0,56.0,5.672317520060452,0.35792145928620767,15.847939185799559,False,False
L224,constant_flux_structural,circular_single_hotspot,0,58.0,5.629097555867602,0.3583676085182916,15.707606999253352,False,True
L224,constant_flux_structural,circular_single_hotspot,0,60.0,5.691742648168785,0.35918648041622586,15.84620512880436,False,True
L224,constant_flux_structural,circular_single_hotspot,0,62.0,5.65713014803943,0.3601399036376891,15.708145892465897,False,True
L224,constant_flux_structural,circular_single_hotspot,0,64.0,5.720374408000857,0.3609487993353165,15.848160233625565,False,True
L224,constant_flux_structural,circular_single_hotspot,0,66.0,5.674651953953534,0.3611425684629893,15.71305198970219,False,True
L224,constant_flux_structural,circular_single_hotspot,0,68.0,5.721788993270243,0.36091515358969056,15.853557093297077,False,True
L224,constant_flux_structural,circular_single_hotspot,0,70.0,5.660603681952306,0.36006912630176713,15.720880432298607,False,True
L224,constant_flux_structural,circular_single_hotspot,0,72.0,5.693613932684951,0.3590313108795991,15.858265728234215,False,True
L224,constant_flux_structural,circular_single_hotspot,0,74.0,5.632765684860277,0.35827463272178217,15.721921594249169,False,True
L224,constant_flux_structural,circular_single_hotspot,0,76.0,5.670886738007491,0.3577872705008027,15.849884010881174,False,True
L224,constant_flux_structural,circular_single_hotspot,0,78.0,5.625537402755533,0.35794861419751517,15.7160474426404,False,True
L224,constant_flux_structural,circular_single_hotspot,0,80.0,5.678738985772049,0.35845422138448213,15.842299091467439,False,True
L224,constant_flux_structural,circular_single_hotspot,0,82.0,5.643877333738199,0.3591547720813709,15.714332016336147,False,True
L224,constant_flux_structural,circular_single_hotspot,0,84.0,5.700207508685744,0.35989585675144004,15.838491612929456,False,True
L224,constant_flux_structural,circular_single_hotspot,0,86.0,5.662458579905702,0.36027669245940735,15.716971700975897,False,True
L224,constant_flux_structural,circular_single_hotspot,0,88.0,5.707611388801363,0.36036515496526733,15.838410873413865,False,True
L224,constant_flux_structural,circular_single_hotspot,0,90.0,5.658615064039034,0.35987276767388465,15.723932379253686,False,True
L224,constant_flux_structural,circular_single_hotspot,0,92.0,5.6882426430679764,0.35906660558438874,15.841747894684435,False,True
L224,constant_flux_structural,circular_single_hotspot,0,94.0,5.638389715960353,0.35837279203960376,15.733308558025954,False,True
L224,constant_flux_structural,circular_single_hotspot,0,96.0,5.668799870973719,0.3577922935932608,15.843828870775022,False,True
L224,constant_flux_structural,circular_single_hotspot,0,98.0,5.629499783278251,0.3577311671848871,15.73667686709764,False,True
L224,constant_flux_structural,circular_single_hotspot,0,100.0,5.668721915986357,0.3580064846624631,15.834131946886272,False,True
L224,constant_flux_structural,circular_single_hotspot,0,102.0,5.640738238444978,0.35853454029595533,15.732761015964554,False,True
L224,constant_flux_structural,circular_single_hotspot,0,104.0,5.684811610509092,0.3592345434378002,15.824791113089018,False,True
L224,constant_flux_structural,circular_single_hotspot,0,106.0,5.6599202772267345,0.359752788867192,15.732804448991157,False,True
L224,constant_flux_structural,circular_single_hotspot,0,108.0,5.696687767136164,0.36010990076332183,15.819303371167926,False,True
L224,constant_flux_structural,circular_single_hotspot,0,110.0,5.6638106008503,0.3599015519504501,15.737110801984183,False,True
L224,constant_flux_structural,circular_single_hotspot,0,112.0,5.683231719095367,0.35929716025311265,15.817636062282606,False,True
