geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,300.0,18.47709816245863,619.9258130426474,768.2803186992362,11991.257834551237,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,1000.0,18.47709816245863,821.7431590149218,973.3242803604423,16579.855432511184,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,3000.0,18.47709816245863,1010.0875579543952,1164.391543846943,21017.14546818804,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,10000.0,18.47709816245863,1220.023397210503,1375.132759245941,26081.85181203251,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,30000.0,18.47709816245863,1412.4889077552743,1568.6193684462771,30853.067672477995,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,100000.0,18.47709816245863,1625.27092626659,1784.849343300588,36219.10098067053,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,1000000.0,18.47709816245863,2043.509870984075,2205.551882455829,46789.79964515289,,,,,,,
a000_i020,0.0,20,EQUALIZED_ORDER_SENSITIVITY,100.0,18.47709816245863,439.7660286433471,585.0836580907951,8178.3877203891825,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,1.0,18.47709816245863,0.027702589583917952,0.7431996016479583,4.325642542488214,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,3.0,18.47709816245863,0.24364276016498032,5.925625982596764,35.402944547620734,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,10.0,18.47709816245863,2.293247197709449,38.08547537477846,251.1513922597212,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,30.0,18.47709816245863,12.890443207238281,119.10495469019551,917.6321725730342,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,100.0,18.47709816245863,57.10823154509926,258.6083498956042,2485.9062836948606,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,300.0,18.47709816245863,146.8139868529704,414.93967158204657,4850.281147463745,,,,,,,
