family,index,class,off_manifold,canary,n_multi_before,n_merged,merger_rate,representation_floor_median,representation_floor_max
m2_structural_mode,17,L448_contrast,False,False,61,0,0.0,87.72684879784524,87.72684879784524
m2_structural_mode,17,L896_radial_enriched,False,False,61,0,0.0,0.47619047619047744,0.47619047619047744
m2_structural_mode,18,L448_contrast,False,False,61,0,0.0,4.285714285714286,4.314782374439702
m2_structural_mode,18,L896_radial_enriched,False,False,61,0,0.0,0.9523809523809513,1.075653047435858
m2_structural_mode,19,L448_contrast,False,False,61,0,0.0,3.3333333333333353,3.370624736026116
m2_structural_mode,19,L896_radial_enriched,False,False,61,0,0.0,0.47619047619047744,0.6904761904761918
m2_structural_mode,20,L448_contrast,False,False,61,0,0.0,3.8095238095238075,3.8095238095238075
m2_structural_mode,20,L896_radial_enriched,False,False,61,0,0.0,0.47619047619047206,0.47619047619047206
m2_structural_mode,21,L448_contrast,False,False,61,0,0.0,88.2030392740357,88.2030392740357
m2_structural_mode,21,L896_radial_enriched,False,False,61,0,0.0,0.47619047619047394,0.47619047619047394
m2_structural_mode,22,L448_contrast,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,22,L896_radial_enriched,False,False,61,0,0.0,0.0,0.0
m2_structural_mode,23,L448_contrast,False,False,61,0,0.0,132.06646367295832,132.06646367295832
m2_structural_mode,23,L896_radial_enriched,False,False,61,0,0.0,88.2030392740357,88.2030392740357
flare_birth_motion_decay,0,L448_contrast,False,False,0,0,0.0,0.0,0.4761904761904758
flare_birth_motion_decay,0,L896_radial_enriched,False,False,0,0,0.0,0.0,0.4761904761904758
flare_birth_motion_decay,1,L448_contrast,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,1,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
flare_birth_motion_decay,2,L448_contrast,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,2,L896_radial_enriched,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,3,L448_contrast,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,3,L896_radial_enriched,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,4,L448_contrast,False,False,0,0,0.0,0.0,0.24999999999999914
flare_birth_motion_decay,4,L896_radial_enriched,False,False,0,0,0.0,0.0,0.24999999999999914
flare_birth_motion_decay,5,L448_contrast,False,False,0,0,0.0,1.666666666666667,21.93171219946131
flare_birth_motion_decay,5,L896_radial_enriched,False,False,0,0,0.0,0.7142857142857133,21.93171219946131
flare_birth_motion_decay,6,L448_contrast,False,False,0,0,0.0,1.1904761904761898,1.1904761904761898
flare_birth_motion_decay,6,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
flare_birth_motion_decay,7,L448_contrast,False,False,0,0,0.0,0.0,0.7567721464434671
flare_birth_motion_decay,7,L896_radial_enriched,False,False,0,0,0.0,0.0,0.24999999999999914
flare_birth_motion_decay,8,L448_contrast,False,False,0,0,0.0,0.0,0.7567721464434671
flare_birth_motion_decay,8,L896_radial_enriched,False,False,0,0,0.0,0.0,0.24999999999999914
flare_birth_motion_decay,9,L448_contrast,False,False,0,0,0.0,0.0,22.46953872317924
flare_birth_motion_decay,9,L896_radial_enriched,False,False,0,0,0.0,0.0,0.3452380952380954
flare_birth_motion_decay,10,L448_contrast,False,False,0,0,0.0,0.0,43.86342439892262
flare_birth_motion_decay,10,L896_radial_enriched,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,11,L448_contrast,False,False,0,0,0.0,0.0,1.685312368013058
flare_birth_motion_decay,11,L896_radial_enriched,False,False,0,0,0.0,0.0,0.34523809523809507
flare_birth_motion_decay,12,L448_contrast,False,False,0,0,0.0,0.0,22.407902675651783
flare_birth_motion_decay,12,L896_radial_enriched,False,False,0,0,0.0,0.0,0.2380952380952389
flare_birth_motion_decay,13,L448_contrast,False,False,0,0,0.0,0.0,22.16980743755655
flare_birth_motion_decay,13,L896_radial_enriched,False,False,0,0,0.0,0.0,22.16980743755655
flare_birth_motion_decay,14,L448_contrast,False,False,0,0,0.0,0.0,1.5135442928869343
flare_birth_motion_decay,14,L896_radial_enriched,False,False,0,0,0.0,0.0,0.6904761904761889
flare_birth_motion_decay,15,L448_contrast,False,False,0,0,0.0,0.0,22.276950294699404
flare_birth_motion_decay,15,L896_radial_enriched,False,False,0,0,0.0,0.0,0.3452380952380952
flare_birth_motion_decay,16,L448_contrast,False,False,0,0,0.0,0.0,22.16980743755655
flare_birth_motion_decay,16,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
flare_birth_motion_decay,17,L448_contrast,False,False,0,0,0.0,0.0,43.86342439892262
flare_birth_motion_decay,17,L896_radial_enriched,False,False,0,0,0.0,0.0,21.93171219946131
flare_birth_motion_decay,18,L448_contrast,False,False,0,0,0.0,1.1904761904761898,1.1904761904761898
flare_birth_motion_decay,18,L896_radial_enriched,False,False,0,0,0.0,0.0,0.0
