arm,target_delta,pair,realized_delta,relative_delta_error,bayes_accuracy,observed_accuracy,monte_carlo_tolerance,exceeds_bayes,disposition,reason,freeze_sha256
UNRESOLVED_IMAGE,0.25,23,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.556640625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,23,0.25,0.0,0.5497382248301129,0.541015625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,24,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.552734375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,24,0.25,0.0,0.5497382248301129,0.521484375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,24,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.56640625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,24,0.24999999999999986,5.551115123125783e-16,0.5497382248301128,0.548828125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,25,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.560546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,25,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.587890625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,25,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.564453125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,25,0.25,0.0,0.5497382248301129,0.525390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,26,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.5390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,26,0.25,0.0,0.5497382248301129,0.521484375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,26,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.58203125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,26,0.25,0.0,0.5497382248301129,0.5390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,27,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.5859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,27,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.59765625,0.04397496704365141,True,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,27,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.548828125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,27,0.25000000000000017,6.661338147750939e-16,0.5497382248301129,0.544921875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,28,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.51171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,28,0.25,0.0,0.5497382248301129,0.505859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,28,0.25,0.0,0.5497382248301129,0.546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,28,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.517578125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,29,0.25,0.0,0.5497382248301129,0.521484375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,29,0.25,0.0,0.5497382248301129,0.517578125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,29,0.2500000000000001,4.440892098500626e-16,0.5497382248301129,0.515625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,29,0.24999999999999972,1.1102230246251565e-15,0.5497382248301128,0.568359375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,30,0.25,0.0,0.5497382248301129,0.54296875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,30,0.24999999999999992,3.3306690738754696e-16,0.5497382248301129,0.54296875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,30,0.25,0.0,0.5497382248301129,0.5625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
