regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
estimated_from_data,two_hotspot_trajectories,pilot,0,0.04293103085934278,0.17064841312997392,5.942121794610955e-15,0.24929841848282036,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,1,0.014248672229943296,0.06622417324664598,1.456560566603926e-15,0.2816352759426875,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,2,0.013933822273162574,0.029278618555243163,1.4453716001838757e-15,0.3586077240794592,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,3,0.014373083191025027,0.05541564592725057,7.420279668490792e-15,0.23862187474275648,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,4,0.016671264527241138,0.046560428088120664,2.9591780414950362e-15,0.23486151630249372,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,5,0.01219379483785357,0.06366527547606737,2.4803943621254375e-15,0.39697630418739455,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,6,0.00747489269175828,0.020325331138508096,2.7385212153507867e-15,0.2946099309335383,0.0,0.0
estimated_from_data,two_hotspot_trajectories,pilot,7,0.015678640507044185,0.05256982165664725,3.6186331708876196e-15,0.32338814714081743,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,0,0.016299723496188377,0.029200694074883682,3.4097290962931127e-15,0.20854811044538085,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,1,0.017756186522509165,0.04380108252803416,5.569503191971137e-15,0.2509000655962057,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,2,0.01528590905410883,0.058318264871458636,7.572241444986361e-15,0.20690746898434959,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,3,0.025433502027185827,0.1153467828277237,3.1230226738010457e-15,0.2715292122651746,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,4,0.012897511290912104,0.019510068930406854,4.1000189354711836e-15,0.2978158963858694,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,5,0.013882520848341842,0.05772997911179267,2.595753473277895e-15,0.3810994207931535,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,6,0.010780221667285995,0.02205323462436204,6.095731558408701e-15,0.2462749286247597,0.0,0.0
estimated_from_data,two_hotspot_trajectories,selection,7,0.016212889018580652,0.06243039909620052,4.576200529626817e-15,0.28708620915736066,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,0,0.020886878062412698,0.07476216752160747,5.4138984961760174e-15,0.23117288248721712,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,1,0.015412856594327217,0.05225855018506265,2.6915969453256137e-15,0.24411486096060983,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,2,0.01146299701489012,0.028244271343065064,4.897384581203923e-15,0.21955960679272513,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,3,0.02252855734478157,0.054823221319251436,4.3973505392536085e-15,0.19014217182376714,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,4,0.013533354255848456,0.0522951695438818,5.686250081904376e-15,0.22758907918149662,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,5,0.021493349812846244,0.03494416730843303,4.659467256473704e-15,0.19607519276341748,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,6,0.01595680491555948,0.059433235565530484,5.445817408133991e-15,0.3176209610510309,0.0,0.0
joint_inversion,circular_hotspot_trajectory,pilot,7,0.015152680726949508,0.049236829521538183,6.520131656806427e-15,0.2327899172642109,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,0,0.01267504961439581,0.043639191966006186,3.576305918073785e-15,0.2712957831850807,0.0,0.0
