delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
constant,independent,exponential,0.3,9000,1,24,0,8,0,3.002480557604271e-05,32531.42029018812
constant,independent,exponential,0.3,9000,2,24,3,0,3,0.00022087866792340933,4925.198437769663
constant,independent,exponential,0.3,9000,3,24,3,0,0,0.0028530148515218535,382.5923122344877
constant,independent,exponential,0.3,9000,4,24,3,0,0,0.01622681213234372,67.33927773350855
constant,independent,exponential,0.3,9000,5,24,3,0,0,0.03745154783799363,29.204805349830334
constant,independent,exponential,0.6,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
constant,independent,exponential,0.6,9000,1,24,0,8,0,2.998468396649454e-05,32044.053507650384
constant,independent,exponential,0.6,9000,2,24,0,0,0,0.00016462287144933008,6037.202999731092
constant,independent,exponential,0.6,9000,3,24,0,0,0,0.001842551077958125,539.9933334504537
constant,independent,exponential,0.6,9000,4,24,0,0,0,0.007766751377106356,128.11639473773084
constant,independent,exponential,0.6,9000,5,24,0,0,0,0.012222400574182625,81.41341104390446
constant,independent,exponential,0.9,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
constant,independent,exponential,0.9,9000,1,24,0,8,0,2.9909033210054472e-05,31886.93923713515
constant,independent,exponential,0.9,9000,2,24,0,0,0,0.00012280213496749826,7848.397496706459
constant,independent,exponential,0.9,9000,3,24,0,0,0,0.0011835611773353305,814.4959929889322
constant,independent,exponential,0.9,9000,4,24,0,0,0,0.0035090602893057743,274.72119011370984
constant,independent,exponential,0.9,9000,5,24,0,0,0,0.003999984305363176,241.00443577652882
perturbed,identical,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,identical,equalized,0.0,9000,1,16,9,0,5,0.000987089476862291,1504.9533197226392
perturbed,identical,equalized,0.0,9000,2,16,10,0,1,0.006131167455203284,296.596514581516
perturbed,identical,equalized,0.0,9000,3,16,11,0,1,0.05343010471617772,39.235381992782806
perturbed,identical,equalized,0.0,9000,4,16,13,0,2,0.4694241210602748,4.91932831781293
perturbed,identical,equalized,0.0,9000,5,16,14,0,1,0.9049714623589885,2.7471992198194375
perturbed,identical,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,identical,exponential,0.3,9000,1,16,7,0,3,0.0008081758633705256,1617.5519573421209
perturbed,identical,exponential,0.3,9000,2,16,8,0,1,0.004053647817780205,352.33691755960854
perturbed,identical,exponential,0.3,9000,3,16,9,0,1,0.026589649069128963,55.94288764537528
perturbed,identical,exponential,0.3,9000,4,16,9,0,0,0.1526787813267854,9.898214345643222
perturbed,identical,exponential,0.3,9000,5,16,9,0,0,0.23375623489444117,6.505246219445319
perturbed,identical,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
