geometry,spin,inclination_deg,arm,retarded_age,information_per_snr2,information_at_reference_snr,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,0.0,20,UNRESOLVED_IMAGE,96.0,9.370505039182624e-11,9.370505039182624e-07,4.0617250580413293e-10,3.292045549849544e-22,1.2328745168810762e-05
a000_i020,0.0,20,UNRESOLVED_IMAGE,100.0,7.131840856100541e-12,7.131840856100541e-08,3.745232609844446e-11,6.984642789215199e-26,9.6362415356273e-07
a000_i020,0.0,20,UNRESOLVED_IMAGE,104.0,3.875981140256178e-14,3.875981140256178e-10,2.154020638081064e-13,0.0,5.26879804728449e-09
a000_i020,0.0,20,UNRESOLVED_IMAGE,108.0,7.154553370041709e-18,7.154553370041709e-14,4.209970324305817e-17,0.0,9.72786156625599e-13
a000_i020,0.0,20,UNRESOLVED_IMAGE,112.0,3.8914200660885654e-23,3.8914200660885655e-19,2.436740107226257e-22,0.0,5.2871687408229655e-18
a000_i020,0.0,20,UNRESOLVED_IMAGE,116.0,6.102355897368045e-30,6.102355897368045e-26,4.0662308144862285e-29,0.0,8.28333029840915e-25
a000_i020,0.0,20,UNRESOLVED_IMAGE,120.0,2.748051859551928e-38,2.748051859551928e-34,1.9443351747993715e-37,0.0,3.7265251983058175e-33
a000_i020,0.0,20,UNRESOLVED_IMAGE,124.0,3.5507243627634827e-48,3.5507243627634824e-44,2.6594524740426086e-47,0.0,4.8102221357567745e-43
a000_i020,0.0,20,UNRESOLVED_IMAGE,128.0,1.3160415621394444e-59,1.3160415621394445e-55,1.0398867255843762e-58,0.0,1.7811120627643025e-54
a000_i020,0.0,20,UNRESOLVED_IMAGE,132.0,1.3990381959633248e-72,1.3990381959633249e-68,1.1620684881778095e-71,0.0,1.891617709331179e-67
a000_i020,0.0,20,UNRESOLVED_IMAGE,136.0,4.265264759011823e-87,4.2652647590118235e-83,3.710770033016578e-86,0.0,5.761611253999976e-82
a000_i020,0.0,20,UNRESOLVED_IMAGE,140.0,3.728722216160175e-103,3.728722216160175e-99,3.385657896640867e-102,0.0,5.0323044961291e-98
a000_i020,0.0,20,UNRESOLVED_IMAGE,144.0,9.34552348251143e-121,9.34552348251143e-117,8.825564179493687e-120,0.0,1.2601913564990515e-115
a000_i020,0.0,20,UNRESOLVED_IMAGE,148.0,6.714299404372485e-140,6.714299404372485e-136,6.572702783939251e-139,0.0,9.04645495777844e-135
a000_i020,0.0,20,UNRESOLVED_IMAGE,152.0,1.38251188556347e-160,1.38251188556347e-156,1.3984099937599445e-159,0.0,1.8612798209688158e-155
a000_i020,0.0,20,UNRESOLVED_IMAGE,156.0,8.156830167673956e-183,8.156830167673956e-179,8.499715614423356e-182,0.0,1.0973631646444478e-177
a000_i020,0.0,20,UNRESOLVED_IMAGE,160.0,1.3786979046821794e-206,1.3786979046821795e-202,1.475864028434608e-205,0.0,1.8535562260774235e-201
a000_i020,0.0,20,UNRESOLVED_IMAGE,164.0,6.674549097479961e-232,6.674549097479961e-228,7.320736799863642e-231,0.0,8.967839924156028e-227
a000_i020,0.0,20,UNRESOLVED_IMAGE,168.0,9.253169951669065e-259,9.253169951669065e-255,1.0373501564664372e-257,0.0,1.2425303471535326e-253
a000_i020,0.0,20,UNRESOLVED_IMAGE,172.0,3.6727179001671993e-287,3.6727179001671993e-283,4.199084891766306e-286,0.0,4.9291870313418165e-282
a000_i020,0.0,20,UNRESOLVED_IMAGE,176.0,4.172811e-317,4.1728107578e-313,4.85556615e-316,0.0,5.597674390906e-312
a000_i020,0.0,20,UNRESOLVED_IMAGE,180.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,184.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,188.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,192.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,196.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,200.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,204.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,208.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,212.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,216.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,220.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,224.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,228.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,232.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,236.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,240.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,244.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,248.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,UNRESOLVED_IMAGE,252.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,TOTAL_FLUX,0.0,0.027884125009116204,278.841250091162,0.15010242380123662,0.0,23.772239534774478
a000_i020,0.0,20,TOTAL_FLUX,4.0,0.025641053448545753,256.4105344854575,0.14765932880855343,0.0,22.48060792776178
a000_i020,0.0,20,TOTAL_FLUX,8.0,0.020374263463321555,203.74263463321554,0.14139565174236096,0.0,19.29293766744129
a000_i020,0.0,20,TOTAL_FLUX,12.0,0.014861929288838251,148.61929288838252,0.1269689880745672,0.0,15.812131218363644
a000_i020,0.0,20,TOTAL_FLUX,16.0,0.007453568878186105,74.53568878186105,0.07425109126792369,0.0,11.65074636750147
