arm,estimator,snr0,regime,n_truths,n_draws,seconds,freeze_sha256
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,256,9,0.661858320236206,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_OOD,64,9,0.17774653434753418,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_ID,256,9,0.8172831535339355,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_OOD,64,9,0.17974281311035156,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_ID,256,9,0.6909949779510498,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_OOD,64,9,0.181840181350708,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_ID,256,9,0.695420503616333,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,OFF_GRID_OOD,64,9,0.1844329833984375,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,300.0,IN_CLASS_ID,256,9,0.8709149360656738,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,300.0,IN_CLASS_OOD,64,9,0.19533038139343262,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,300.0,OFF_GRID_ID,256,9,0.7181024551391602,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,300.0,OFF_GRID_OOD,64,9,0.18055343627929688,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,IN_CLASS_ID,256,9,0.661041259765625,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,IN_CLASS_OOD,64,9,0.1851959228515625,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,OFF_GRID_ID,256,9,0.6728901863098145,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,OFF_GRID_OOD,64,9,0.19751501083374023,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,IN_CLASS_ID,256,9,0.6939635276794434,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,IN_CLASS_OOD,64,9,0.19311237335205078,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,OFF_GRID_ID,256,9,0.6979525089263916,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,OFF_GRID_OOD,64,9,0.19821405410766602,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,IN_CLASS_ID,256,9,0.7858550548553467,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,IN_CLASS_OOD,64,9,0.20347857475280762,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,OFF_GRID_ID,256,9,0.7005062103271484,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,OFF_GRID_OOD,64,9,0.18490839004516602,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,300.0,IN_CLASS_ID,256,9,0.66497802734375,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
