source_class,arm,bank,family,index,retarded_age,structure_error_absolute,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,84.0,4.5577758755388835,1.0034729145688237,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,86.0,4.516775737987608,1.0021821965897184,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,88.0,4.54580658771634,1.0009941287533857,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,90.0,4.509582524766,1.0004173108380936,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,92.0,4.541052852933379,1.0001233374743836,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,94.0,4.508671175679273,1.0000269573128113,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,96.0,4.539651584389954,1.000009448225411,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,98.0,4.5095698398742075,1.0000197290542865,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,100.0,4.5388333017709055,1.0000416820628022,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,102.0,4.510781187014976,1.0000645206753942,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,104.0,4.5380006979194,1.000087391236745,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,3,106.0,4.51200162997346,1.000095192586616,True
