arm,estimator,snr0,regime,family,hyperparameter,n_truths,L_stable_anchor,T_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,TSVD,3.0,IN_CLASS_ID,correlated_extended_field,0.01,512,0.0,-1.0,0.7270252466198177,0.736449526076066,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,IN_CLASS_ID,rotating_asymmetric_crescent,0.01,512,0.0,-1.0,0.7357962634413563,1.165849163714352,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,IN_CLASS_ID,single_orbiting_hotspot,0.01,512,0.0,-1.0,0.7322663951663136,0.8700140298916006,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,IN_CLASS_ID,two_independent_hotspots,0.01,512,0.0,-1.0,0.7321175293362525,0.9942705045457458,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,IN_CLASS_OOD,moving_flare_birth_decay,0.01,1024,0.0,-1.0,0.7203551667946274,0.726571027806742,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,OFF_GRID_ID,correlated_extended_field,0.01,256,0.0,-1.0,0.7289793384323968,0.741160512231084,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,OFF_GRID_ID,rotating_asymmetric_crescent,0.01,256,0.0,-1.0,0.7368612483594321,0.8778953935558382,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,OFF_GRID_ID,single_orbiting_hotspot,0.01,256,0.0,-1.0,0.7283747419905189,0.7373544185504466,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,OFF_GRID_ID,two_independent_hotspots,0.01,256,0.0,-1.0,0.7292614721938632,0.7485219212166294,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,3.0,OFF_GRID_OOD,moving_flare_birth_decay,0.01,1024,0.0,-1.0,0.7257067642679855,0.7260522773977569,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
