family,index,off_manifold,canary,age_M,level,multiplicity_label,centroid_r,centroid_phi,total_contrast,second_moment_rr,second_moment_pp,second_moment_rp,a_m1,a_m2,radial_mass_fraction_peak
two_hotspot_trajectories,7,False,False,80.0,2,2,20.776030965595343,5.149051225531395,35.374659184588076,0.014773769069300433,0.2150942625957722,0.004693260558530248,0.8968280313956786,0.6353146123789011,0.17162174359920276
two_hotspot_trajectories,7,False,False,82.0,2,2,20.776151039253936,5.128723543122261,35.36848525398501,0.014773972515133056,0.21519972883821942,0.004734048313141349,0.8967802503445873,0.6351742785208674,0.17161548200236715
two_hotspot_trajectories,7,False,False,84.0,2,2,20.776226827605388,5.1083836934257665,35.361366582686074,0.014774448202648983,0.21527968496848746,0.004773815219700602,0.8967437803915531,0.6350646788775605,0.1716141818584389
two_hotspot_trajectories,7,False,False,86.0,2,2,20.77632141705962,5.088046806165577,35.35466184555233,0.014774545189750098,0.21537130670281313,0.004810446303596111,0.8967020193151549,0.6349395711363109,0.17160593089854687
two_hotspot_trajectories,7,False,False,88.0,2,2,20.776488796683733,5.067710930642416,35.348411779430926,0.014775189383911303,0.21547943136604528,0.004849624955446333,0.8966529673798322,0.6347948972372509,0.17160919893305346
two_hotspot_trajectories,7,False,False,90.0,2,2,20.776565453957705,5.047367553855696,35.341416977169295,0.01477504332208799,0.2155666220416981,0.004885161373046199,0.8966131258475115,0.6346746064632952,0.17161861958915908
two_hotspot_trajectories,7,False,False,92.0,2,2,20.776713607003618,5.0270410087286095,35.334534301977925,0.014775482329582836,0.21566097928684225,0.004924957628104806,0.8965701803206504,0.6345465308208944,0.1716212276234957
two_hotspot_trajectories,7,False,False,94.0,2,2,20.776796390967885,5.0067150269843665,35.32730776463566,0.014775889641121252,0.21574688346182574,0.004962802489899235,0.8965309552579349,0.6344282993365922,0.17161918322058606
two_hotspot_trajectories,7,False,False,96.0,2,2,20.776901260642077,4.98637947420827,35.32044278960364,0.014775760222106162,0.21584534816120027,0.005000397506529826,0.8964861373468884,0.6342946605425266,0.1716170506271769
two_hotspot_trajectories,7,False,False,98.0,2,2,20.777044789587187,4.966036411282742,35.313702795289835,0.014776566958201242,0.21595133664688257,0.005040408886266718,0.8964380539879927,0.6341527953374273,0.17160595463460063
two_hotspot_trajectories,7,False,False,100.0,2,2,20.777112299140033,4.945702526304174,35.30666126663888,0.014776500008017108,0.21604909824095953,0.005077194613767801,0.8963935451681868,0.634019947133069,0.17161407648823915
two_hotspot_trajectories,7,False,False,102.0,2,2,20.7772842125649,4.925380819093581,35.29948226936916,0.014777073894383414,0.2161454733283578,0.005117239276818972,0.8963496660333161,0.6338889218709798,0.17162372062476358
two_hotspot_trajectories,7,False,False,104.0,2,2,20.777371378561675,4.905036458930679,35.292161427161275,0.014777295898329313,0.21624000311876093,0.005154539358892665,0.8963065880683697,0.6337599629590057,0.17162069164486227
two_hotspot_trajectories,7,False,False,106.0,2,2,20.777472745488943,4.884717140787412,35.28509060735389,0.01477717126986383,0.21634376689519189,0.005192950021834838,0.8962594050795913,0.6336197032145103,0.17162506707986183
two_hotspot_trajectories,7,False,False,108.0,2,2,20.777627521662417,4.8643861775630155,35.27760416168537,0.014778022382660554,0.21643744233212056,0.005232372014927316,0.8962166883880064,0.6334915129644475,0.17160964944841056
two_hotspot_trajectories,7,False,False,110.0,2,2,20.77771823765862,4.844055267753415,35.269893807687765,0.014778003929002151,0.21652554140099045,0.005268615626028749,0.8961763834577235,0.6333693119607934,0.17161305890403497
