family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
m1_rotating_crescent,18,2173251399432810814,False,False,1,61,61,0,0,0,0,0.33998669889399075,0.3399866988939924,0,0.023572330424743125,0.32351534117472547
m1_rotating_crescent,19,7932475700224130781,False,False,1,61,61,0,0,0,0,0.06144393241167328,0.25744000627371605,0,0.0850077463045568,0.5743758336388589
m1_rotating_crescent,20,8731760865234388849,False,False,1,61,61,0,0,0,0,0.29342116520253714,0.29342116520254097,0,0.13179740128393483,0.6159944580706169
m1_rotating_crescent,21,4652041454559480165,False,False,1,61,61,0,0,0,0,0.22273425499231841,0.33482913306189876,0,0.02983518566364328,0.4822157966249855
m1_rotating_crescent,22,2723565335072373045,False,False,1,61,61,0,0,0,0,0.09984639016897183,0.269201228878652,0,0.13870767700384118,0.49000305655371945
m1_rotating_crescent,23,4092642447600023318,False,False,1,61,61,0,0,0,0,0.25188060506428883,0.25188060506429333,0,0.05093741497834833,0.5193438293593782
m2_structural_mode,0,7478328100128198341,False,False,2,61,0,61,0,0,0,0.22273425499231841,0.33482913306190043,0,0.022057916065259572,0.3090207112847517
m2_structural_mode,1,2382691462615948313,False,False,2,61,0,61,0,0,0,0.25571567721422445,0.25571567721422667,0,0.052835036270560506,0.42549842462795456
m2_structural_mode,2,5756365203191248904,False,False,2,61,0,61,0,0,0,0.250117952075559,0.25011795207556126,0,0.025658710165766162,0.4173519963578755
m2_structural_mode,3,371118743106070226,False,False,2,61,0,61,0,0,0,0.25421179795004184,0.25421179795004406,0,0.07676280873802517,0.5498857639400958
m2_structural_mode,4,313036539884966139,False,False,2,61,0,61,0,0,0,0.3560056966735905,0.3560056966735913,0,0.03511425313612933,0.5691308532354178
m2_structural_mode,5,8293223255968506169,False,False,2,61,0,61,0,0,0,0.3560056966735905,0.35600569667359205,0,0.028327161551780517,0.3106048607573525
m2_structural_mode,6,4168055397613627814,False,False,2,61,0,61,0,0,0,0.25293230074824463,0.25293230074824685,0,0.02500311705634101,0.4826997778197348
m2_structural_mode,7,6126456426451714501,False,False,2,61,0,61,0,0,0,0.25188060506428883,0.2518806050642911,0,0.033204669025211665,0.5172911179900332
m2_structural_mode,8,7300666760339947353,False,False,2,61,0,61,0,0,0,0.1382488479262648,0.2856794426502197,0,0.1592980929736528,0.6700770765882963
m2_structural_mode,9,1498897130035005009,False,False,2,61,0,61,0,0,0,0.1382488479262673,0.28567944265022094,0,0.23614053987552264,0.6479565490740902
m2_structural_mode,10,8625918471067426882,False,False,2,61,0,61,0,0,0,0.297513979769301,0.2975139797693029,0,0.3092594255406824,0.6371762307442009
m2_structural_mode,11,8512748291029878009,False,False,2,61,0,61,0,0,0,0.25421179795004184,0.25421179795004406,0,0.0466360713067459,0.407990329527098
m2_structural_mode,12,5217086868455121213,False,False,2,61,0,61,0,0,0,0.17665130568356466,0.306113841241635,0,0.35572730189399865,0.7300718513534226
m2_structural_mode,13,2829918114363270231,False,False,2,61,0,61,0,0,0,0.3505791056001014,0.350579105600103,0,0.018691336119612215,0.4301733532071448
m2_structural_mode,14,6378471964357887534,False,False,2,61,0,61,0,0,0,0.36710038045232973,0.3671003804523313,0,0.09878393015060577,0.778457794126332
m2_structural_mode,15,8138472064832926536,False,False,2,61,0,61,0,0,0,0.25293230074824463,0.25293230074824685,0,0.1188930048052317,0.7907766378793813
m2_structural_mode,16,4249510584727729831,False,False,2,61,0,61,0,0,0,0.22273425499231841,0.33482913306190043,0,0.05409651766844428,0.5568351538250906
m2_structural_mode,17,6484296452130112230,False,False,2,61,0,61,0,0,0,0.25938038859604357,0.25938038859604573,0,0.11261409509423458,0.6510013120025583
m2_structural_mode,18,4228452053722159146,False,False,2,61,0,61,0,0,0,0.10752688172042961,0.27214340023693384,0,0.27827304862002805,0.700512346291955
m2_structural_mode,19,1708194448643127706,False,False,2,61,0,61,0,0,0,0.2688172043010746,0.3671003804523305,0,0.06064805933177442,0.7281693293019482
m2_structural_mode,20,4292832737772185491,False,False,2,61,0,61,0,0,0,0.03072196620583843,0.2518806050642911,0,0.06596987155090905,0.7461340329913649
m2_structural_mode,21,7047881673799719854,False,False,2,61,0,61,0,0,0,0.19201228878648344,0.3152280429229364,0,0.08290688729563314,0.5672164226173384
m2_structural_mode,22,2522283688278130014,False,False,2,61,0,61,0,0,0,0.0,0.2500000000000014,0,0.041276450224293666,0.5940850248356039
m2_structural_mode,23,5864245718731404585,False,False,2,61,0,61,0,0,0,0.1766513056835632,0.3061138412416341,0,0.06425245239755416,0.6027067852548424
flare_birth_motion_decay,0,3815987368986188347,False,False,1,61,23,0,0,38,0,0.250117952075559,0.250117952075559,0,0.004702541030936588,0.34065637934337445
flare_birth_motion_decay,1,1256862401917126194,False,False,1,61,28,0,0,33,0,0.03840245775729587,0.25293230074824685,0,0.00576847316000894,0.4138199454657837
flare_birth_motion_decay,2,5514000393954143426,False,False,1,61,21,0,0,40,0,0.23041474654377825,0.3399866988939924,0,0.006484946101378823,0.6260147376296876
flare_birth_motion_decay,3,2033573485992835550,False,False,1,61,28,0,0,33,0,0.21196414528824314,0.28567944265022294,0,0.06435224911262932,0.6869830630507914
flare_birth_motion_decay,4,2889539258931569545,False,False,1,61,37,0,0,24,0,0.0,0.24999999999999914,0,0.0039561239934610614,0.3010815933869961
flare_birth_motion_decay,5,7353723127472181984,False,False,1,61,30,0,0,31,0,0.2785703274235098,0.27857032742351384,0,0.0256630782949912,0.39359900300189193
flare_birth_motion_decay,6,8645892904345999771,False,False,1,61,35,0,0,26,0,0.26113671274961664,0.3615140145909666,0,0.010810656976168261,0.5691779471528827
flare_birth_motion_decay,7,6276951405135627908,False,False,1,61,23,0,0,38,0,0.3560056966735905,0.3560056966735921,0,0.005540259484576184,0.5870361637537505
flare_birth_motion_decay,8,6391175467970404904,False,False,1,61,23,0,0,38,0,0.3560056966735905,0.3560056966735905,0,0.006561261360374482,0.5396189873510593
flare_birth_motion_decay,9,1179873223539498071,False,False,1,61,22,0,0,39,0,0.03840245775729587,0.25293230074824463,0,0.0035850451946811165,0.43203128490523235
flare_birth_motion_decay,10,659557064086703198,False,False,1,61,22,0,0,39,0,0.25293230074824463,0.2529323007482491,0,0.006391957867246537,0.34775910903349655
flare_birth_motion_decay,11,3479641907623183783,False,False,1,61,27,0,0,34,0,0.32976980026994196,0.3297698002699454,0,0.013924492554787274,0.7875753940762391
flare_birth_motion_decay,12,3688403745062146302,False,False,1,61,25,0,0,36,0,0.04608294930875557,0.25421179795004406,0,0.01246382437208798,0.5212146751550049
