geometry,spin,inclination_deg,window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_sensitivity_matched_0_to_1,Gamma_sensitivity_matched_0_to_1_status,Gamma_sensitivity_matched_1_to_2,Gamma_sensitivity_matched_1_to_2_status
a050_i050,0.5,50,0.5499999999999999,31.79430564494044,305.82478842447165,76.223329600147,1.8113986715346755,93.97750108278484,0.025915322070977263,2.564456528773417,ok,2.1235100965047295,ok
a050_i050,0.5,50,0.6,34.68466232306998,301.0182538371815,78.94181484772051,1.5193809209849707,96.84915057269347,0.021459048477654216,2.6444339719097822,ok,2.1299559225877926,ok
a050_i050,0.5,50,0.65,37.57501900119953,278.6946521631986,81.66030009529399,1.2497967333255071,99.72080006260211,0.017359797264397417,2.7035679105227626,ok,2.1382895864439395,ok
a050_i050,0.5,50,0.7,40.465375679329064,240.39918818043412,84.37878534286749,1.006196771682326,102.59244955251074,0.012819983010093202,2.738061587528792,ok,2.181463901700365,ok
a050_i050,0.5,50,0.75,43.355732357458606,199.44809620396455,87.09727059044098,0.7792024774147479,105.46409904241938,0.009176612068208275,2.772519190150728,ok,2.2208064254965745,ok
a050_i050,0.5,50,0.7999999999999999,46.24608903558814,160.09188763591004,89.81575583801447,0.5849244420570255,108.33574853232801,0.006457668420968223,2.8060102735406613,ok,2.2531071764573785,ok
a050_i050,0.5,50,0.85,49.136445713717684,122.04123881942725,92.53424108558798,0.37056068993766483,111.20739802223665,0.003686567745105478,2.898548526443628,ok,2.305160681002519,ok
a050_i050,0.5,50,0.9,52.026802391847234,85.23050295953087,95.25272633316146,0.16371213706001195,114.07904751214528,0.0015500546018298081,3.1275025204919804,ok,2.329909733210144,ok
a050_i050,0.5,50,0.95,54.91715906997677,48.770887700401964,97.97121158073496,0.052018571038278165,116.95069700205391,0.0004998532033731988,3.4216440300673945,ok,2.3225208035478824,ok
a050_i075,0.5,75,0.05,42.51860699590223,120.07601885118365,104.3375886854417,17.706868438821466,120.67389720782722,0.2791175710483571,0.9570862104691541,ok,2.0750373980091936,ok
a050_i075,0.5,75,0.1,47.574948076798684,121.13891934712308,107.12155196433778,16.51022624783207,123.68341785280109,0.21646203654180046,0.9964790096481314,ok,2.167160029642119,ok
a050_i075,0.5,75,0.15,52.63128915769513,120.68548105034112,109.90551524323385,15.449547605109098,126.69293849777495,0.1622816659473163,1.0278040548088545,ok,2.2780007482535067,ok
a050_i075,0.5,75,0.2,57.68763023859158,118.51070027909996,112.68947852212993,14.794768033487173,129.7024591427488,0.12784315054113748,1.040364823596573,ok,2.375612379939532,ok
a050_i075,0.5,75,0.25,62.743971319488026,127.18507428906446,115.47344180102601,14.166474662448767,132.71197978772267,0.10418116826422058,1.097382534797403,ok,2.4562510633791668,ok
a050_i075,0.5,75,0.3,67.80031240038447,137.40590523630445,118.2574050799221,13.476844645465103,135.72150043269653,0.08783899438609899,1.1609831779784274,ok,2.5166113754350725,ok
a050_i075,0.5,75,0.35,72.85665348128092,159.4599896156781,121.04136835881818,12.864069512258602,138.7310210776704,0.07543176441576172,1.2586774629517352,ok,2.569482465003321,ok
