geometry,spin,inclination_deg,deepest_detectable_age,shallowest_detectable_age,n_detectable_ages,right_censored,depth_report,arm,snr0,total_ages,age_grid_max,T_rec_best_mode,T_rec_best_mode_right_censored,T_rec_best_mode_report
a000_i020,0.0,20,-1.0,-1.0,0,False,none,TOTAL_FLUX,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,TOTAL_FLUX,3.0,64,252.0,12.0,False,12.0
a000_i020,0.0,20,12.0,0.0,4,False,12.0,TOTAL_FLUX,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,TOTAL_FLUX,30.0,64,252.0,32.0,False,32.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,TOTAL_FLUX,100.0,64,252.0,44.0,False,44.0
a000_i020,0.0,20,52.0,0.0,14,False,52.0,TOTAL_FLUX,300.0,64,252.0,60.0,False,60.0
a000_i020,0.0,20,68.0,0.0,18,False,68.0,TOTAL_FLUX,1000.0,64,252.0,72.0,False,72.0
a000_i020,0.0,20,76.0,0.0,20,False,76.0,TOTAL_FLUX,3000.0,64,252.0,80.0,False,80.0
a000_i020,0.0,20,92.0,0.0,24,False,92.0,TOTAL_FLUX,10000.0,64,252.0,92.0,False,92.0
a000_i020,0.0,20,96.0,0.0,25,False,96.0,TOTAL_FLUX,30000.0,64,252.0,96.0,False,96.0
a000_i020,0.0,20,96.0,0.0,25,False,96.0,TOTAL_FLUX,100000.0,64,252.0,100.0,False,100.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,TOTAL_FLUX,1000000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,-1.0,-1.0,0,False,none,DELAY_ONLY,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,DELAY_ONLY,3.0,64,252.0,16.0,False,16.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,DELAY_ONLY,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,DELAY_ONLY,30.0,64,252.0,64.0,False,64.0
a000_i020,0.0,20,60.0,0.0,16,False,60.0,DELAY_ONLY,100.0,64,252.0,80.0,False,80.0
a000_i020,0.0,20,76.0,0.0,20,False,76.0,DELAY_ONLY,300.0,64,252.0,92.0,False,92.0
a000_i020,0.0,20,88.0,0.0,23,False,88.0,DELAY_ONLY,1000.0,64,252.0,96.0,False,96.0
a000_i020,0.0,20,96.0,0.0,25,False,96.0,DELAY_ONLY,3000.0,64,252.0,100.0,False,100.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,DELAY_ONLY,10000.0,64,252.0,100.0,False,100.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,DELAY_ONLY,30000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,DELAY_ONLY,100000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,104.0,0.0,27,False,104.0,DELAY_ONLY,1000000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,-1.0,-1.0,0,False,none,SPATIAL_ONLY,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,SPATIAL_ONLY,3.0,64,252.0,16.0,False,16.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,SPATIAL_ONLY,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,SPATIAL_ONLY,30.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,SPATIAL_ONLY,100.0,64,252.0,24.0,False,24.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,SPATIAL_ONLY,300.0,64,252.0,24.0,False,24.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,SPATIAL_ONLY,1000.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,SPATIAL_ONLY,3000.0,64,252.0,32.0,False,32.0
a000_i020,0.0,20,28.0,0.0,8,False,28.0,SPATIAL_ONLY,10000.0,64,252.0,32.0,False,32.0
a000_i020,0.0,20,32.0,0.0,9,False,32.0,SPATIAL_ONLY,30000.0,64,252.0,32.0,False,32.0
a000_i020,0.0,20,32.0,0.0,9,False,32.0,SPATIAL_ONLY,100000.0,64,252.0,36.0,False,36.0
a000_i020,0.0,20,36.0,0.0,10,False,36.0,SPATIAL_ONLY,1000000.0,64,252.0,36.0,False,36.0
a000_i020,0.0,20,-1.0,-1.0,0,False,none,EQUALIZED_ORDER_SENSITIVITY,1.0,64,252.0,36.0,False,36.0
