source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L448,baseline_one_positive,circular_single_hotspot,selection,1,0.18655277978843654,0.5217822888832034,0.9540454757190759
L448,baseline_one_positive,circular_single_hotspot,selection,2,0.18554444878476997,2.1225632051535763,0.7249647447966315
L448,baseline_one_positive,circular_single_hotspot,selection,3,0.18937405507930763,0.5420631555716132,1.2922222807832637
L448,baseline_one_positive,circular_single_hotspot,selection,4,0.1805105539145156,1.0240867010330634,0.5345473211819363
L448,baseline_one_positive,circular_single_hotspot,selection,5,0.19231009523614412,0.6618429545593421,1.2047740820610795
L448,baseline_one_positive,circular_single_hotspot,selection,6,0.18687136560633225,0.692424325619367,0.8879776045897142
L448,baseline_one_positive,circular_single_hotspot,selection,7,0.20284799147392163,1.1608512341043828,1.3541284004044962
L448,baseline_one_positive,circular_two_hotspots,pilot,0,0.18902885159092972,0.6205634286363153,1.0987558353258604
L448,baseline_one_positive,circular_two_hotspots,pilot,1,0.1915486743513241,0.5351684564885361,1.246453579368579
L448,baseline_one_positive,circular_two_hotspots,pilot,2,0.18948287149889056,0.5272519962049554,1.2884891185090204
L448,baseline_one_positive,circular_two_hotspots,pilot,3,0.1972541873221156,0.686300321990547,1.486901130331603
L448,baseline_one_positive,circular_two_hotspots,pilot,4,0.20728849553473436,0.6744461569977696,1.7798343291959504
L448,baseline_one_positive,circular_two_hotspots,pilot,5,0.20241191695029892,0.6518447592274659,1.7958199219777076
L448,baseline_one_positive,circular_two_hotspots,pilot,6,0.2107493028399313,0.5526360907417335,2.371196755241895
L448,baseline_one_positive,circular_two_hotspots,pilot,7,0.18411112830076765,0.8513099379348456,0.8520488434261368
L448,baseline_one_positive,circular_two_hotspots,selection,0,0.18362528275608306,0.5906469605746905,0.8336972679575291
L448,baseline_one_positive,circular_two_hotspots,selection,1,0.18410285110475366,0.8323029110051955,0.9598704633240827
L448,baseline_one_positive,circular_two_hotspots,selection,2,0.18573462440986988,0.8023518610497664,0.9456335624205241
L448,baseline_one_positive,circular_two_hotspots,selection,3,0.1859977759456842,0.6713451653750149,1.0892837568520766
L448,baseline_one_positive,circular_two_hotspots,selection,4,0.1852384030376776,0.5313123943048634,0.9458517328313099
L448,baseline_one_positive,circular_two_hotspots,selection,5,0.18296501767717613,0.4931495789080006,1.009899615572398
L448,baseline_one_positive,circular_two_hotspots,selection,6,0.19732093925483984,0.5907135134875378,1.3934449636772077
L448,baseline_one_positive,circular_two_hotspots,selection,7,0.19337092841744277,0.9823465876137223,1.1517874010196978
L448,baseline_one_positive,plunging_hotspot,pilot,0,0.2008035663345765,1.209618385375544,1.2966803379944432
L448,baseline_one_positive,plunging_hotspot,pilot,1,0.18445865967297678,1.7768328915784528,0.6739568416495503
L448,baseline_one_positive,plunging_hotspot,pilot,2,0.19374276610314706,1.2421303366565906,1.0465985780563558
L448,baseline_one_positive,plunging_hotspot,pilot,3,0.18078618442344888,3.5383352374378045,0.46991436600019854
L448,baseline_one_positive,plunging_hotspot,pilot,4,0.19845402671048326,1.127324067145893,1.2391026372197214
L448,baseline_one_positive,plunging_hotspot,pilot,5,0.23805263609098432,1.0672621321359206,2.1815128926549723
L448,baseline_one_positive,plunging_hotspot,pilot,6,0.22481446894657242,0.9634935661075832,1.9825952126185822
L448,baseline_one_positive,plunging_hotspot,pilot,7,0.1875200959686386,2.1944389986290567,0.798763812406193
L448,baseline_one_positive,plunging_hotspot,selection,0,0.19208906946101265,0.7899891497371394,1.0044155482934063
L448,baseline_one_positive,plunging_hotspot,selection,1,0.18397876324629028,2.400670823174392,0.6532119771935179
L448,baseline_one_positive,plunging_hotspot,selection,2,0.2047027022928435,1.2414888938838697,1.3832767029513227
L448,baseline_one_positive,plunging_hotspot,selection,3,0.18202419515324836,1.3466886926449613,0.5510900331711369
L448,baseline_one_positive,plunging_hotspot,selection,4,0.22365757611125953,0.9828641910857653,1.883004199701327
L448,baseline_one_positive,plunging_hotspot,selection,5,0.18909717954909552,1.5073788054579718,0.8751838585533969
L448,baseline_one_positive,plunging_hotspot,selection,6,0.19704452565906413,1.089900917135266,1.207565788635677
L448,baseline_one_positive,plunging_hotspot,selection,7,0.2244473910595769,1.1292696588885076,1.8984149185253403
L448,constant_flux_structural,circular_crescent,pilot,0,0.2320817221533806,0.34249075821458025,2.4339548784253373
L448,constant_flux_structural,circular_crescent,pilot,1,0.21155783770745676,0.3187155131589002,1.773305874758469
L448,constant_flux_structural,circular_crescent,pilot,2,0.3086025764441979,0.3944997940786793,4.930011526860381
L448,constant_flux_structural,circular_crescent,pilot,3,0.5023382861870769,0.5845694136006692,11.480967926574897
L448,constant_flux_structural,circular_crescent,pilot,4,0.5306087327568121,0.6094563788837655,12.721945369408507
L448,constant_flux_structural,circular_crescent,pilot,5,0.2589716324423582,0.3920340907279847,3.0538164188614254
L448,constant_flux_structural,circular_crescent,pilot,6,0.33619758998163884,0.44920101858898537,5.2982669530364666
L448,constant_flux_structural,circular_crescent,pilot,7,0.36484986746413833,0.47428065955595994,6.163414761914485
L448,constant_flux_structural,circular_crescent,selection,0,0.23257135400135837,0.38742954264747126,2.282643738168217
L448,constant_flux_structural,circular_crescent,selection,1,0.23338900905964075,0.3504557688757919,2.2785047300048626
L448,constant_flux_structural,circular_crescent,selection,2,0.44361238079866416,0.5454109955228306,8.703689226535685
L448,constant_flux_structural,circular_crescent,selection,3,0.2575508407532953,0.3688970272428952,3.1493406241340134
L448,constant_flux_structural,circular_crescent,selection,4,0.21130847887825793,0.2831380269930625,1.9791307412807853
L448,constant_flux_structural,circular_crescent,selection,5,0.4482493365344839,0.544665885301312,9.023080929963161
L448,constant_flux_structural,circular_crescent,selection,6,0.2206516807348119,0.366933468031828,1.9823779711518654
L448,constant_flux_structural,circular_crescent,selection,7,0.26321829734344626,0.418150541538186,3.0604461039177067
L448,constant_flux_structural,circular_single_hotspot,pilot,0,0.3281528009371804,0.40879953273072733,5.6488016255338795
L448,constant_flux_structural,circular_single_hotspot,pilot,1,0.2722873010619172,0.3583797825866674,3.8191582524063605
L448,constant_flux_structural,circular_single_hotspot,pilot,2,0.3736727715521982,0.4007164430209067,11.092162499941768
L448,constant_flux_structural,circular_single_hotspot,pilot,3,0.20304076433776327,0.27039087694685593,1.7085658208200944
