source_class,bank,family,split,index,content_hash,achieved_structure_fraction,level_fraction,target_structure_fraction,representation_floor,in_class_residual,reprojection_residual_relative,min_value,negative_mass_relative,achievable
L224,constant_flux_structural,plunging_hotspot,pilot,0,a373a5e49f053797ccc22a48e4b5bd5c92886750b324330df9a3d3c42d2f49e3,0.9127380504262861,0.4085452867235436,,1.843338764635661e-15,0.0,0.15529408664512784,-3.581369508537898,0.27445949366387484,True
L224,constant_flux_structural,plunging_hotspot,pilot,1,46932157a1b21e348fda79d4de86c308881290ecdc7d3cd89f82417a65bc42ec,0.9105134537538071,0.4134794439066032,,1.83511232132705e-15,0.0,0.15236849784746362,-4.3197682817854375,0.07356229383713651,True
L224,constant_flux_structural,plunging_hotspot,pilot,2,6fff6e8e3bc4231b4c14e8bdff6675b2550ccee6665300c0675ab0cacde43a1f,0.9416457260850656,0.33660559494121545,,2.069083198804626e-15,0.0,0.15523144588541507,-4.973808906979638,0.14042921922998478,True
L224,constant_flux_structural,plunging_hotspot,pilot,3,bbef8e0b308897fa1c20c6d1157debc6ec5700ddf5e956c998833ef3d2b5d7ef,0.9527006225216601,0.30391038785609364,,1.9981601575539365e-15,0.0,0.1546503616668437,-8.1749134051674,0.19244990253852315,True
L224,constant_flux_structural,plunging_hotspot,pilot,4,050b2c43df7e56024710316960566acd4f35cf9e16e39de9357f02926748f87a,0.8947960027064228,0.4464752104435446,,1.6488135516287144e-15,0.0,0.15539103310403177,-2.7262808110206307,0.23876315823621408,True
L224,constant_flux_structural,plunging_hotspot,pilot,5,eecf492890a4d19c6fe40a4093d3e30f2221a1bba04ed95a209177d003ac0fb9,0.8392750829819209,0.5437070305648896,,2.4070367927019487e-15,0.0,0.1558776347683526,-1.6922268607120128,0.20442931861016664,True
L224,constant_flux_structural,plunging_hotspot,pilot,6,f2a9acebbcef2bf0eb290e3e9171213c121fb52803de053d7f3dbd1fbe9372c7,0.8941649153612701,0.44773776268813054,,2.881215404529369e-15,0.0,0.15212886002723897,-3.933388817910169,0.06508678713724887,True
L224,constant_flux_structural,plunging_hotspot,pilot,7,64a949acdbceb3f7691f70d5eeb55bd007f24d33d2a0b61790d1d950d8f89c11,0.8968981025296712,0.4422372594871168,,1.912380504026128e-15,0.0,0.15207254402844161,-4.054297558170054,0.06497061236575248,True
L224,structure_balanced_050,circular_single_hotspot,selection,0,6127e6d1386e35be2a74a04fd22b7711bdb26ebebf787f627905b959c792a28b,0.4890956063112543,0.8722301805641826,0.5,1.2693227854773076e-15,0.0,0.18723165398068808,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,selection,1,3c7f05bca5e51506f3785bcb6284e71d9b6d6e2f38b8f44a8e5f642e5aab49b9,0.43350258525869007,0.9011523226258877,0.5,1.4197500559186938e-15,0.0,0.1943820485969209,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,selection,2,f668c4d46549fe62a0b745be8e651eb8cf610e95e2cb67fb8b1f58413e75012e,0.5161320249799978,0.8565090383586428,0.5,1.991289671425958e-15,0.0,0.1834350780528408,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,selection,3,d1ad6b3b807fbf7f248d4ca7b0ecc08f81ee05e299348dacb775d15ac69e5d20,0.5069925718741035,0.861950423205698,0.5,1.400027734838544e-15,0.0,0.18199406362816306,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,selection,4,9b9b9abed01fb484f6e7e020b57fededf0d6afbbb2a5c1505fedc19786413095,0.5160903173883274,0.8565341699535491,0.5,1.6382810723328468e-15,0.0,0.1742394957041653,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,selection,5,86407e62b6e20d586479a31f5feaa2323580085a86178cfebe7785805b7a3564,0.4996218073323908,0.8662436433463251,0.5,1.6603934090821449e-15,0.0,0.1773852536138922,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,selection,6,72778658617a5f765391be00254dff731c0a7a90b0cd76904841b25c80943f74,0.5161383791642138,0.8565052092974906,0.5,1.4336371284484113e-15,0.0,0.17543334448863304,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,selection,7,c5c8144168533c894951581f0d25eca9a5662bc164824918a5cabdc3be77f1bf,0.516201338975197,0.8564672659478666,0.5,1.5338164372236115e-15,0.0,0.17893995682448746,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,0,5746193be6a21ab18ae5cb20b5ab3466ed3d2d2274e8257f6b48494b038cf58f,0.48644396687085273,0.8737117757561408,0.5,1.3731178526276131e-15,0.0,0.18510720138289458,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,pilot,1,0c9b59cf83637434bebaca26c39b1cf08769073aa757e5854f1564c867002f25,0.5161116676413284,0.8565213053535137,0.5,1.5969448266467659e-15,0.0,0.17476822881969195,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,2,c8428ad3f98b347d91a1bf3a4702240cd53e1e419e29f3fc955fc7ae8e473a5e,0.5162012253552684,0.8564673344277174,0.5,1.3277312109394447e-15,0.0,0.1793102317222353,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,3,f5dad7c2183f0a77ad91932ccb0e50747a621217615d1f39740594e043f0e4e5,0.516202061750599,0.8564668303235279,0.5,1.3161588703818805e-15,0.0,0.17923808702383295,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,4,f0bc500eda79f07e1bb698ca8869fdac544fdc0b569d9f7349e1802cef85c533,0.5161719422747651,0.8564849829438322,0.5,1.4279842217602035e-15,0.0,0.18192097235753069,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,5,1cbeb43f0eb197ecc1d789174e74b7e0acdb7ca1f924dbdba20eab3bccc646a3,0.5161883242361099,0.8564751099257448,0.5,1.622577662149762e-15,0.0,0.18102995112069978,0.0,0.0,True
L224,structure_balanced_050,circular_single_hotspot,pilot,6,c1d506588e1c47f58d758eca9199c66756712a4678875b2bdb98ae8302dca6fc,0.43300756374808935,0.9013902871325741,0.5,1.672482172382297e-15,0.0,0.18439981685296658,0.0,0.0,False
L224,structure_balanced_050,circular_single_hotspot,pilot,7,cbd5df085aae100cc6968ca7bd6bbf6c54cf20e6465fd689b9f273e11d6623ef,0.43833652312105625,0.898810932564877,0.5,1.3214532286816156e-15,0.0,0.19408068754923974,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,selection,0,07e399aa07388d3e88480e1caf3dab60141d070426312200c88bddacfb1ba280,0.39424853043757957,0.9190038608448873,0.5,1.5450346647706368e-15,0.0,0.18988216951773948,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,selection,1,9d730e6e256108f5a5718c34dd29871e194a5b8f1289c00c5ed525652b1b5856,0.45170394081880894,0.8921678933075086,0.5,1.972358693487329e-15,0.0,0.18195293272682797,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,selection,2,0d9c386340f23a55d24f3ef7f0125b5ecc431cd0f0f1686ee2f031f5652f1cef,0.45328651849292273,0.8913648703828109,0.5,1.5515361804859344e-15,0.0,0.18475091177205222,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,selection,3,c6d72f82b839e34cfed00437f18cab1b45e045d787be72f60a0c102c40997dcb,0.5161360450368006,0.8565066158610625,0.5,1.4485553766986034e-15,0.0,0.17575801777489913,0.0,0.0,True
L224,structure_balanced_050,circular_two_hotspots,selection,4,43338b69c228e6905d412b35ca2ff72e49bca9857da3cc5d8df4f8feac02f50a,0.4011466487499879,0.9160138460725655,0.5,1.385048907646318e-15,0.0,0.19069729037878544,-0.05578635482155939,0.0012309857669781168,False
L224,structure_balanced_050,circular_two_hotspots,selection,5,6af78ff9be2c40d4e38453c4561c10c9d2893e66684464701a5a3a0afd382378,0.5128719729494159,0.8584651066659458,0.5,1.4540481575941722e-15,0.0,0.17306895280106557,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,selection,6,67231f85a62a3acf24b25b9cb5795d60863d2f1bf8d6164d118d55955fac13f6,0.5161352764116571,0.8565070790387329,0.5,1.4102799929993704e-15,0.0,0.17532935618423007,0.0,0.0,True
L224,structure_balanced_050,circular_two_hotspots,selection,7,ed0595bde79ad228bccd55ecaf5bf73578996e52333ad67e6d05931c4d7a63ad,0.5161959855825456,0.8564704924680502,0.5,1.590551842191375e-15,0.0,0.17801421878248322,0.0,0.0,True
L224,structure_balanced_050,circular_two_hotspots,pilot,0,0a1e11cecaba09500f344e521466e83f40d5dfc48b711573b4b71fd92e928f70,0.5162003041009825,0.8564678896759955,0.5,1.3112684069757704e-15,0.0,0.1786765148943734,0.0,0.0,True
L224,structure_balanced_050,circular_two_hotspots,pilot,1,5b41bf18173a15d69e1a474b79b3ea40ca0399989cf54346ca5cc0f31d222d11,0.5162014019253772,0.8564672280071638,0.5,1.0939190963065392e-15,0.0,0.17890151530818552,0.0,0.0,True
L224,structure_balanced_050,circular_two_hotspots,pilot,2,c7089f6770632ab0b6387aacde21a81d8f44c7526c78291544677a4309236bbe,0.4567518645611189,0.8895941401672682,0.5,2.1308100441970307e-15,0.0,0.1852824701978189,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,pilot,3,8393d5ea91b5f5637a99d31220cee8368c4fe9333b10f12ba2b92879193337e2,0.4559112372621494,0.8900252489329143,0.5,1.670219066590217e-15,0.0,0.18057059383950158,0.0,0.0,False
L224,structure_balanced_050,circular_two_hotspots,pilot,4,54e45f2562db51fe0a699c1c409bfa40f96d2b18f969fd5230246324ee3a4165,0.515989858537203,0.8565946917222621,0.5,1.57484911527642e-15,0.0,0.1725249587413421,-0.0006367046140968394,1.9241356709590723e-05,True
L224,structure_balanced_050,circular_two_hotspots,pilot,5,b037e6b8738220f23244d2371e291a4b1215af65e99bc7e3858aa9ddcde0afff,0.5161729864886077,0.8564843536337553,0.5,1.4260358250109267e-15,0.0,0.1766071685188492,0.0,0.0,True
