class,arm,estimator,snr0,family,index,target,age_M,state,measure,error
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,106.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,108.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,110.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,112.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,114.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,116.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,118.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,CLASS_CONDITIONAL,120.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,0.0,SINGLE_RESOLVED,assignment,1.0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,2.0,SINGLE_RESOLVED,assignment,0.7754889809464431
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,4.0,SINGLE_RESOLVED,assignment,0.7661206470054789
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,6.0,SINGLE_RESOLVED,assignment,0.688160862673972
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,8.0,SINGLE_RESOLVED,assignment,0.7006519745952577
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,10.0,SINGLE_RESOLVED,assignment,0.5509779618928865
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,12.0,SINGLE_RESOLVED,assignment,0.10195592378577313
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,14.0,SINGLE_RESOLVED,assignment,0.10195592378577313
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,16.0,SINGLE_RESOLVED,assignment,0.10195592378577313
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,18.0,SINGLE_RESOLVED,assignment,0.10195592378577313
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,20.0,SINGLE_RESOLVED,assignment,0.06448258802191607
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,22.0,SINGLE_RESOLVED,assignment,0.06448258802191607
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,24.0,SINGLE_RESOLVED,assignment,0.06448258802191607
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,26.0,SINGLE_RESOLVED,assignment,0.688160862673972
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,28.0,SINGLE_RESOLVED,assignment,0.6818653584195852
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,30.0,SINGLE_RESOLVED,assignment,0.6818653584195852
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,32.0,SINGLE_RESOLVED,assignment,0.7499999999999999
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,34.0,SINGLE_RESOLVED,assignment,0.7499999999999999
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,36.0,SINGLE_RESOLVED,assignment,0.7499999999999999
